value_euro,age,release_clause_euro,sprint_speed,dribbling,position
4800,34,8900,32,67,Forward
3000,34,5600,78,78,Defense
8000,29,14400,69,69,Forward
5500,31,10500,51,51,Defense
4400,32,9300,32,65,Midfield
7000,32,10500,68,78,Midfield
8500,27,16200,72,83,Midfield
11000,21,25300,82,81,Forward
7500,27,11100,68,64,Defense
9000,27,18700,73,70,Forward
5500,31,10500,60,58,Defense
11500,21,21900,77,76,Midfield
7500,31,13500,88,72,Forward
9500,23,18100,68,60,Defense
8000,28,16800,74,77,Midfield
4700,32,9800,55,14,Goalkeeper
7500,28,15600,69,70,Midfield
10000,21,19000,84,72,Defense
8000,25,15000,64,58,Defense
6000,29,11400,77,76,Defense
7000,31,13300,81,81,Midfield
8000,24,14200,76,78,Defense
9500,23,18100,71,52,Defense
9000,27,16000,72,80,Forward
5000,32,10000,77,72,Defense
7500,29,14300,57,69,Midfield
12000,22,27600,77,78,Midfield
7000,27,13800,80,76,Defense
7500,28,16300,40,72,Midfield
6500,28,12400,79,81,Defense
10500,24,20000,78,83,Midfield
5000,31,8500,55,75,Midfield
9500,25,21100,80,78,Midfield
3100,33,5600,66,70,Midfield
8500,26,16800,66,47,Defense
5500,30,11600,40,25,Defense
7500,31,12800,46,69,Forward
11500,21,21900,70,76,Midfield
6500,27,11500,51,18,Goalkeeper
7000,31,13300,73,78,Midfield
10000,25,18800,67,77,Midfield
10500,24,20000,69,74,Midfield
7500,27,13300,55,49,Defense
11000,22,24200,75,78,Midfield
6000,30,10200,76,72,Defense
13000,20,29300,70,71,Midfield
10000,24,14800,78,81,Midfield
3100,35,5800,54,18,Goalkeeper
7500,26,14800,68,71,Midfield
5500,30,9400,73,59,Midfield
8500,22,19600,68,35,Defense
8000,26,17400,38,70,Midfield
5500,29,10500,80,71,Defense
7000,28,11900,73,70,Forward
7000,26,14500,68,48,Defense
9000,23,17100,74,78,Midfield
2700,34,4900,41,44,Defense
6000,33,10200,62,78,Midfield
3900,35,7400,67,77,Midfield
7500,26,14800,75,66,Defense
7500,26,14400,87,76,Defense
9000,28,15100,75,75,Forward
4400,33,6600,68,74,Midfield
9000,24,19800,79,67,Defense
6000,30,11400,68,67,Midfield
9500,21,20000,86,76,Forward
7500,28,16300,61,72,Midfield
9500,22,15200,63,36,Defense
11500,21,24200,76,77,Midfield
7000,29,13300,55,65,Forward
3700,33,7700,73,68,Defense
7500,24,14800,79,71,Defense
2700,34,5700,58,64,Midfield
7500,27,14800,79,77,Midfield
7000,27,13300,55,62,Midfield
7000,25,13100,59,57,Defense
8500,25,15100,78,80,Forward
6500,27,12800,68,65,Defense
7000,27,13300,68,77,Midfield
1600,35,3100,35,11,Goalkeeper
9000,24,20700,79,78,Midfield
7000,28,11900,75,76,Midfield
8500,25,16800,83,81,Midfield
6500,31,14300,77,80,Forward
1900,35,3600,69,69,Defense
2900,36,3700,63,82,Forward
5000,32,9500,61,76,Midfield
7000,29,10500,77,69,Forward
8000,24,16800,59,75,Midfield
7500,24,13300,87,74,Defense
4000,31,8100,37,22,Goalkeeper
8500,25,15100,79,74,Midfield
8500,25,18500,78,78,Midfield
3800,32,8200,63,75,Midfield
9000,23,20700,74,73,Midfield
9000,24,13300,75,78,Midfield
5500,28,11600,78,68,Defense
5000,32,8500,55,71,Midfield
8000,26,14200,92,73,Midfield
4800,31,9600,75,67,Defense
6000,27,13700,76,67,Defense
6500,27,10200,50,62,Defense
7500,24,15600,80,73,Defense
13500,18,33400,73,76,Midfield
8000,23,15200,66,67,Midfield
9000,23,17800,78,80,Midfield
5500,33,11000,69,74,Forward
7000,26,12400,72,47,Defense
8500,25,17600,85,73,Forward
4500,31,7200,67,51,Defense
11000,19,20900,88,82,Forward
6500,28,13700,59,73,Midfield
450,39,855,39,14,Goalkeeper
8000,25,11800,74,82,Forward
9000,24,20700,68,73,Midfield
6500,28,10400,86,75,Forward
6500,24,11500,85,74,Defense
12000,21,27000,76,79,Midfield
8000,21,16800,70,70,Midfield
10000,22,15000,83,75,Midfield
4800,30,9100,75,75,Defense
10500,20,20000,66,74,Midfield
6500,27,12200,87,78,Defense
11500,21,25300,83,76,Midfield
8000,23,16000,71,64,Defense
8500,25,15900,71,71,Midfield
8000,25,15000,74,76,Midfield
8000,26,17400,72,75,Midfield
8500,20,17900,72,62,Defense
6500,29,9100,75,78,Midfield
8000,25,14200,82,77,Midfield
7000,28,12600,74,71,Forward
4500,32,7600,33,72,Midfield
8000,24,16800,69,70,Midfield
5000,30,10000,74,75,Defense
9000,21,15300,89,77,Defense
9000,23,20700,72,75,Midfield
7500,25,16300,73,65,Midfield
6500,26,12200,87,72,Defense
7000,26,14500,78,72,Midfield
4900,30,8400,72,46,Defense
8000,26,13400,75,79,Midfield
6000,28,11900,52,58,Defense
9000,24,18700,88,79,Midfield
7000,26,15200,69,55,Defense
8000,27,15800,66,60,Forward
11000,20,24200,86,81,Forward
4500,32,8500,33,38,Defense
5500,28,11000,30,49,Defense
5500,32,10500,53,67,Midfield
8000,26,12600,77,80,Midfield
8000,20,18400,72,75,Midfield
3800,33,5400,55,25,Goalkeeper
6000,29,9500,31,58,Defense
7000,27,11200,93,76,Midfield
7000,28,11900,89,76,Midfield
8000,26,17400,78,78,Midfield
7500,24,14800,79,79,Midfield
6500,27,11500,67,74,Midfield
7000,25,11000,73,72,Midfield
4400,29,7400,54,48,Defense
1700,35,3200,53,41,Defense
8000,23,16800,85,77,Forward
6000,26,11900,43,55,Defense
6000,26,9500,79,73,Defense
4400,30,6100,69,57,Defense
9000,22,17100,75,78,Midfield
7000,26,11900,79,79,Forward
6500,29,11700,91,76,Midfield
10000,21,22000,84,77,Midfield
6500,30,9100,73,74,Forward
6000,27,11400,88,76,Midfield
4200,31,6700,74,67,Midfield
4700,28,7100,66,54,Defense
8500,22,19100,81,71,Defense
2800,35,5300,66,75,Midfield
6500,24,12400,68,56,Defense
5500,28,10900,66,66,Defense
6500,26,10200,73,42,Defense
3600,31,5800,29,18,Goalkeeper
4700,28,10300,43,20,Goalkeeper
4900,31,9900,79,76,Midfield
5500,31,9900,85,74,Forward
4600,29,6800,64,44,Defense
1300,35,2000,49,35,Defense
10000,19,21000,85,75,Forward
5500,28,11600,83,80,Midfield
3600,30,5800,47,16,Goalkeeper
3700,32,7000,75,65,Defense
7000,26,15900,68,70,Midfield
6500,27,12800,55,67,Forward
6000,26,11900,74,62,Defense
6500,27,11500,69,70,Forward
3800,32,6100,33,32,Defense
5500,28,12100,79,76,Midfield
3800,32,5700,73,58,Defense
4400,30,8700,68,71,Defense
5500,30,11600,60,75,Midfield
4900,31,9900,76,74,Midfield
2300,34,4100,42,16,Goalkeeper
6500,23,13700,67,64,Midfield
3800,32,5700,42,68,Defense
4300,30,6000,79,70,Defense
6000,28,12600,76,78,Midfield
8000,20,17600,60,50,Defense
1700,34,3200,51,61,Defense
5500,29,8300,54,72,Midfield
4200,31,6700,66,59,Midfield
3800,31,5500,65,61,Defense
4800,32,10400,70,74,Midfield
7500,22,16300,86,83,Midfield
5500,31,9400,83,76,Forward
7500,25,11800,84,72,Forward
4400,30,8700,58,42,Defense
6500,24,11500,76,68,Defense
5500,27,10000,79,66,Midfield
4600,28,7900,79,68,Defense
2300,34,3400,41,14,Goalkeeper
3100,33,4700,69,69,Defense
6500,26,11500,92,83,Midfield
6000,28,9600,71,71,Forward
7500,25,16300,93,75,Forward
6000,27,10800,78,62,Forward
1600,35,2700,66,72,Defense
7000,26,12400,74,75,Forward
6000,25,9500,42,59,Midfield
5500,30,8300,61,72,Forward
7000,23,13300,69,55,Defense
6500,25,14100,74,53,Defense
6000,25,13100,74,48,Defense
5500,30,9900,52,72,Forward
2200,33,4800,67,71,Defense
9500,19,16200,81,80,Midfield
7000,23,11900,79,35,Defense
5500,31,10500,67,74,Midfield
6500,25,14800,76,64,Midfield
4200,30,8800,40,48,Defense
1600,34,2200,82,71,Defense
4400,28,7600,75,73,Defense
4400,33,5900,69,74,Midfield
7500,24,15600,78,76,Midfield
5500,29,8300,78,76,Midfield
6000,28,10800,90,78,Midfield
7000,25,13800,85,80,Midfield
4400,33,9200,68,75,Midfield
4400,29,9300,73,67,Defense
4400,30,6400,44,12,Goalkeeper
6500,27,14800,55,65,Midfield
6500,22,14300,77,74,Defense
5500,28,10500,65,75,Midfield
6000,28,12600,83,76,Midfield
6500,27,14100,73,68,Forward
7000,26,13800,83,71,Midfield
6000,28,13200,88,76,Midfield
4200,30,6700,62,73,Midfield
7000,22,14700,72,57,Defense
8500,22,17900,78,75,Forward
6500,26,11500,69,66,Defense
7500,25,16300,79,75,Forward
7500,22,14100,77,73,Forward
4000,27,7100,18,8,Goalkeeper
4500,29,6000,40,14,Goalkeeper
4100,31,6900,68,70,Defense
6500,24,14300,74,75,Defense
7000,26,11400,87,68,Forward
6000,24,10700,65,56,Defense
6000,26,12500,68,74,Midfield
3500,34,5300,75,70,Forward
7000,26,14500,80,71,Forward
6500,26,12800,59,40,Defense
4300,30,9400,88,65,Defense
4600,29,8700,70,62,Defense
9500,21,20000,75,77,Midfield
4400,29,8400,82,72,Defense
3800,32,6800,54,50,Defense
6000,26,9000,70,78,Midfield
4400,30,8300,50,66,Midfield
4800,27,9100,76,75,Defense
3400,31,4600,47,12,Goalkeeper
7000,24,13300,79,58,Defense
7000,25,13800,69,70,Midfield
7000,25,15200,69,74,Midfield
5500,31,6900,77,75,Midfield
2300,34,4900,51,59,Defense
3200,33,5500,39,10,Goalkeeper
5500,30,9900,93,77,Forward
4900,32,8900,73,77,Midfield
9000,21,18900,76,77,Forward
5000,27,10900,72,67,Defense
4100,31,8500,77,75,Defense
2300,35,4800,28,16,Goalkeeper
4400,30,7900,55,39,Defense
4200,27,6700,87,71,Midfield
2000,35,3800,84,72,Midfield
2300,33,3900,32,39,Defense
3700,25,5600,37,12,Goalkeeper
1300,38,1800,50,71,Midfield
3100,30,5900,64,67,Midfield
4200,25,7800,85,74,Defense
4300,23,6800,77,68,Defense
5500,22,9800,67,72,Midfield
3800,30,5700,68,68,Midfield
3600,28,7600,57,70,Midfield
4500,25,8400,72,74,Defense
6000,23,12000,69,69,Forward
5000,24,8600,88,77,Forward
1200,34,1900,54,55,Defense
5500,23,11400,85,78,Midfield
5500,22,11600,87,72,Forward
4200,27,7900,67,74,Midfield
5500,24,11400,54,65,Forward
3200,33,5700,69,53,Forward
4300,28,6400,76,71,Forward
4200,28,6300,93,74,Forward
4100,28,8300,72,73,Forward
6000,22,12600,76,76,Midfield
4000,29,6700,72,71,Midfield
7000,21,16800,68,77,Midfield
4500,22,6600,82,73,Defense
4000,28,6900,78,78,Midfield
3900,31,4800,92,74,Forward
4700,27,9700,65,71,Forward
3800,30,8400,59,75,Midfield
4700,26,10700,76,76,Midfield
4300,26,9500,66,55,Defense
3100,33,4200,71,72,Midfield
3400,27,7100,86,72,Defense
3900,28,6600,53,32,Defense
3800,30,7600,66,74,Midfield
3800,28,6000,79,75,Midfield
4000,30,5000,78,71,Forward
3500,29,6600,63,39,Defense
5000,26,10400,67,67,Forward
5500,24,9400,86,79,Forward
3500,26,8000,45,13,Goalkeeper
1800,36,2900,60,75,Midfield
3000,29,6300,71,62,Defense
270,41,392,33,14,Goalkeeper
5500,21,11600,66,58,Defense
5500,24,12000,67,74,Midfield
2600,31,5100,39,12,Goalkeeper
550,38,825,43,45,Defense
2600,31,4500,57,11,Goalkeeper
3300,28,7200,74,63,Defense
4100,28,7800,74,72,Midfield
3900,29,5700,66,73,Midfield
1900,35,2500,63,69,Midfield
5000,22,9000,67,52,Defense
3200,33,5700,66,74,Forward
2700,32,4600,45,44,Defense
9000,21,21800,84,73,Forward
4200,27,7000,67,59,Defense
5000,24,7400,76,69,Forward
2700,32,4300,68,43,Defense
4800,27,7500,69,60,Forward
3900,31,7300,66,65,Forward
4700,26,9300,76,76,Midfield
3800,28,6300,56,35,Defense
3000,30,4800,83,69,Defense
4200,28,7100,55,80,Midfield
4700,26,10200,75,78,Midfield
3300,29,6900,59,14,Goalkeeper
2400,34,4100,61,75,Midfield
3400,31,5100,65,69,Midfield
4900,25,10300,63,73,Midfield
2500,34,4000,61,65,Forward
3200,28,6300,79,61,Defense
3800,28,7800,50,47,Defense
4700,24,9000,76,68,Defense
3000,31,5600,59,67,Midfield
1600,35,2400,42,13,Goalkeeper
3500,27,6600,61,62,Midfield
3600,32,7700,74,68,Forward
4100,26,6400,82,68,Defense
3500,32,7700,79,74,Midfield
2000,34,3800,45,20,Goalkeeper
2100,35,4000,56,70,Forward
4200,28,6700,70,77,Midfield
3100,30,5300,65,55,Midfield
3100,33,6200,67,70,Midfield
5500,22,10900,87,77,Midfield
2600,31,4100,61,13,Goalkeeper
5500,23,11600,84,77,Forward
4300,27,7300,83,78,Midfield
4700,23,7500,45,11,Goalkeeper
3200,29,6700,49,16,Goalkeeper
3100,30,6200,39,57,Defense
2600,32,3900,71,73,Defense
5000,24,7900,75,78,Midfield
4400,25,7800,73,37,Defense
3100,32,3900,72,76,Forward
6500,21,13300,71,66,Defense
3400,27,6500,87,72,Defense
5500,24,7300,69,72,Forward
3000,30,6700,77,66,Defense
3100,30,3900,62,55,Defense
2300,32,3000,44,52,Defense
4100,29,7800,76,78,Forward
3900,31,4800,63,68,Forward
4800,26,7600,68,72,Midfield
6500,21,13000,72,73,Midfield
2700,32,5700,54,46,Defense
6500,22,13700,71,76,Midfield
2900,30,4900,73,71,Defense
7000,20,11900,75,75,Midfield
4200,28,7100,81,73,Midfield
4300,26,6300,66,58,Midfield
3500,26,5500,34,14,Goalkeeper
3800,31,6000,74,77,Midfield
2400,31,4600,44,14,Goalkeeper
4500,23,8500,55,73,Midfield
4200,27,5900,70,67,Midfield
3000,29,5000,79,70,Defense
6000,21,12600,72,76,Midfield
5000,24,10400,85,83,Midfield
270,39,419,33,52,Defense
3100,30,4000,67,52,Defense
3200,29,6200,39,27,Defense
3900,30,6300,64,76,Midfield
2000,34,2500,47,14,Goalkeeper
1100,35,2200,69,74,Defense
1800,36,3900,64,68,Forward
2000,35,3000,62,73,Midfield
2700,31,5100,54,47,Defense
2700,31,4700,44,65,Midfield
4700,23,7900,69,70,Midfield
4500,24,9400,69,70,Midfield
4100,26,9400,74,65,Defense
4800,26,10800,90,75,Midfield
3500,27,6600,56,45,Defense
4000,29,7500,61,71,Midfield
4700,22,9400,65,56,Midfield
3300,28,4900,75,73,Defense
2000,35,3200,71,74,Forward
4500,26,7100,77,42,Defense
5500,23,10200,78,76,Midfield
2600,28,5000,58,54,Defense
4200,24,9000,71,74,Midfield
3900,25,9000,86,73,Midfield
2400,32,3700,74,71,Midfield
2400,33,5300,64,72,Midfield
2400,33,2900,55,64,Midfield
3700,27,5400,78,73,Midfield
2400,29,4100,62,52,Defense
3200,28,4100,76,69,Midfield
4800,21,11100,78,76,Forward
3200,26,6000,80,69,Defense
3500,24,7200,76,76,Defense
3700,24,7100,55,63,Midfield
2200,31,4300,66,70,Defense
3300,26,7100,55,56,Defense
4400,21,9300,78,79,Forward
3300,28,5600,85,78,Forward
1600,34,3300,78,77,Midfield
1000,36,2000,51,72,Midfield
4300,24,9100,66,64,Forward
3700,26,6300,81,71,Midfield
3300,27,4100,78,80,Midfield
2300,30,4800,69,60,Midfield
3900,25,7400,69,72,Forward
950,35,1800,51,68,Midfield
3400,26,4600,54,57,Defense
3800,25,7200,67,69,Midfield
2400,33,4600,68,74,Midfield
425,39,765,31,29,Defense
3100,29,5400,79,71,Midfield
950,35,1800,70,62,Midfield
3700,27,6200,50,59,Forward
3200,27,6100,57,68,Midfield
3900,26,7100,81,73,Midfield
1300,34,1900,45,54,Defense
4000,25,6200,73,75,Forward
2700,32,4000,63,71,Midfield
5500,20,10500,79,77,Forward
4200,24,9000,75,76,Midfield
3300,27,4200,78,71,Midfield
2600,29,4200,33,18,Goalkeeper
3300,27,6500,74,74,Forward
4000,25,7000,51,67,Forward
2900,31,4400,79,73,Midfield
2700,32,3700,54,72,Midfield
2700,31,5700,69,70,Midfield
2400,30,4100,57,51,Defense
2900,27,6700,48,39,Defense
3500,25,7700,76,68,Defense
3500,25,7000,68,58,Defense
4600,22,8800,69,68,Forward
3000,26,4100,77,68,Defense
3200,28,4300,70,67,Forward
6000,18,16400,67,78,Midfield
3600,27,7400,65,71,Midfield
900,39,1600,45,68,Forward
3600,27,5000,82,66,Forward
6500,19,14800,79,73,Forward
950,35,1800,32,38,Defense
3000,31,6500,76,56,Forward
